"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Romania","ROU","Women","2006","Crude","0.0547281025300079","0.036585801025601","0.0765507927884024","0.444520373237513","0.318667566716822","0.574427399482967"
"Romania","ROU","Women","2007","Crude","0.0585439793155515","0.0397960137816097","0.0812343379242873","0.449589615327505","0.329141897250306","0.574343035767809"
"Romania","ROU","Women","2008","Crude","0.0628958671392311","0.0435758105383374","0.0859849626000353","0.454413755631625","0.33947644944423","0.573106836363376"
"Romania","ROU","Women","2009","Crude","0.0678808406076077","0.0483462610960891","0.0908006102627506","0.459271333949802","0.350455640204504","0.572704775191675"
"Romania","ROU","Women","2010","Crude","0.0733662325093142","0.0536845967650955","0.0964079396127332","0.464262926164307","0.360686867293459","0.571592744043561"
"Romania","ROU","Women","2011","Crude","0.0792067937630838","0.0593474869949482","0.102245003286491","0.469320084609623","0.369858163217438","0.571547561016357"
"Romania","ROU","Women","2012","Crude","0.0852919318814469","0.0651311180690262","0.108505425933624","0.474376531291091","0.378808344950181","0.572778425292737"
"Romania","ROU","Women","2013","Crude","0.0917105792057542","0.0707996423473751","0.115214900949321","0.47943356612594","0.387754060787254","0.574907599779612"
"Romania","ROU","Women","2014","Crude","0.0986754957611908","0.0766441208206425","0.123569400965286","0.484638550526972","0.393577358015546","0.57816320644412"
"Romania","ROU","Women","2015","Crude","0.106127986027184","0.0823936599863583","0.133274635415752","0.489903287382207","0.398542042363765","0.581833464542554"
"Romania","ROU","Women","2016","Crude","0.113917951596055","0.0882475525106085","0.143329134725082","0.49508902080645","0.40195714196427","0.587387313807654"
"Romania","ROU","Women","2017","Crude","0.122178394826173","0.0941899349523589","0.154250299943128","0.500168838737062","0.404936387028716","0.594636350898432"
"Romania","ROU","Women","2018","Crude","0.131167279066696","0.100230306899737","0.167730130019748","0.505144183284036","0.405519356411792","0.604577007294372"
"Romania","ROU","Women","2019","Crude","0.140825417850174","0.105999811006858","0.181952375872764","0.510056195456556","0.403331269206854","0.616583542558249"
"Romania","ROU","Women","2020","Crude","0.15109105023234","0.111421140784941","0.19833515814077","0.514937380511856","0.399337358953247","0.629710813045112"
"Romania","ROU","Women","2021","Crude","0.161376175029139","0.114832797423187","0.216247462803218","0.519534544344026","0.393253831281721","0.642999834465706"
"Romania","ROU","Women","2022","Crude","0.171787495958633","0.117829659423491","0.235334816902448","0.524057966465825","0.386318409103167","0.656734678526971"
"United Kingdom","GBR","Men","1990","Crude","0.0575401728578223","0.0405338912869546","0.0779755323399668","0.31958462872478","0.219364341369683","0.430442950562147"
"United Kingdom","GBR","Men","1991","Crude","0.0582358734210462","0.0416579497628984","0.0778583652871179","0.330396206466167","0.232714220594024","0.436242924852966"
"United Kingdom","GBR","Men","1992","Crude","0.0589248356297305","0.0426220365587824","0.0785304678452386","0.341500901167951","0.24717584073362","0.441741383483079"
"United Kingdom","GBR","Men","1993","Crude","0.0596184569137784","0.0433935595112692","0.0782987136252003","0.352884697996834","0.261251978916363","0.449259954245851"
"United Kingdom","GBR","Men","1994","Crude","0.0603448503143571","0.0443726526611374","0.0784795914740476","0.364418861474755","0.276846937368941","0.456420659089672"
"United Kingdom","GBR","Men","1995","Crude","0.0610100787851288","0.0454154490853325","0.0783183462144709","0.375901366374325","0.292058510229931","0.463549796771734"
"United Kingdom","GBR","Men","1996","Crude","0.06167723326894","0.0465693893151096","0.0784811096489431","0.387618494802186","0.307939477967836","0.47108238710011"
"United Kingdom","GBR","Men","1997","Crude","0.0624241661452464","0.0476364554143386","0.0789452845800518","0.399563402283331","0.32408876218458","0.478173622192095"
"United Kingdom","GBR","Men","1998","Crude","0.0632509085427801","0.0491908940920343","0.0790352969980538","0.411612851364561","0.340358422757202","0.484432604155104"
"United Kingdom","GBR","Men","1999","Crude","0.0641869620520231","0.0509243089735409","0.0790849697400699","0.42359588137772","0.357656962082483","0.491631844610337"
"United Kingdom","GBR","Men","2000","Crude","0.0653230911461709","0.0527329195901351","0.0796440751514934","0.435451551858182","0.373853791809582","0.500080317168564"
"United Kingdom","GBR","Men","2001","Crude","0.0667112089309309","0.0549879732835315","0.0800983436688397","0.447071493928319","0.389704827912068","0.507010363169488"
"United Kingdom","GBR","Men","2002","Crude","0.0683570649714793","0.0573411968032867","0.0808018358595278","0.458392130736175","0.405793810932129","0.514367373743355"
"United Kingdom","GBR","Men","2003","Crude","0.0702249388900205","0.0600026627455201","0.0815519814889846","0.468911117398342","0.418746177879691","0.5197514528877"
"United Kingdom","GBR","Men","2004","Crude","0.0723062664834701","0.0625155162550209","0.0832225547043043","0.47809900479914","0.431154260964727","0.525642755194391"
"United Kingdom","GBR","Men","2005","Crude","0.0746586153091764","0.0654652408871947","0.0848360522613253","0.485657796431419","0.441372389663059","0.531065102716717"
"United Kingdom","GBR","Men","2006","Crude","0.0773293801138831","0.0686785620642161","0.0872569840896919","0.491707196601359","0.450208442298846","0.533770770440248"
"United Kingdom","GBR","Men","2007","Crude","0.0802779624051912","0.0717387977041355","0.0899561101196906","0.496689669429174","0.457609342135669","0.536168859179285"
"United Kingdom","GBR","Men","2008","Crude","0.0833528217090139","0.0749950723152659","0.0925168464865155","0.50104683639853","0.464155094126902","0.537812243126329"
"United Kingdom","GBR","Men","2009","Crude","0.0864617312315234","0.0780540316151854","0.095191993435269","0.505079189989803","0.469796699491477","0.539650784417563"
"United Kingdom","GBR","Men","2010","Crude","0.0893914027751217","0.0809502081254446","0.098341751608498","0.508841557071592","0.473376424432927","0.542486676132282"
