"Country","ISO","Sex","Year","Age","Prevalence of hypertension","Prevalence of hypertension lower 95% uncertainty interval","Prevalence of hypertension upper 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension","Proportion of diagnosed hypertension among all hypertension lower 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension upper 95% uncertainty interval","Proportion of treated hypertension among all hypertension","Proportion of treated hypertension among all hypertension lower 95% uncertainty interval","Proportion of treated hypertension among all hypertension upper 95% uncertainty interval","Proportion of controlled hypertension among all hypertension","Proportion of controlled hypertension among all hypertension lower 95% uncertainty interval","Proportion of controlled hypertension among all hypertension upper 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension","Proportion of untreated stage 2 hypertension among all hypertension lower 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension upper 95% uncertainty interval"
"United States of America","USA","Men","2015","75-79","0.668783519996797","0.610164374033236","0.721215370496035","0.884466420945453","0.838511091712355","0.923199036827665","0.859176488518471","0.809344214161926","0.900969181370252","0.592800596780038","0.502368116769054","0.679030334208342","0.0267915423326123","0.0162351021103538","0.0409447940596857"
"United States of America","USA","Men","2016","75-79","0.668162376699636","0.604443096792599","0.725068705984029","0.886641266458347","0.836981223829127","0.927838044473172","0.858787454616572","0.804453984862754","0.904538319604693","0.590769153261009","0.49196807578831","0.685619544303465","0.0260445183061767","0.0150137477528368","0.0411271366217733"
"United States of America","USA","Men","2017","75-79","0.667775946140836","0.597375299399812","0.729429054982987","0.888515775925018","0.835174973930185","0.932109880156477","0.857912665342113","0.797425344497612","0.907873059357544","0.587387006442917","0.477681458696601","0.692557358516579","0.0253970624940568","0.0138110248978486","0.0414851674326586"
"United States of America","USA","Men","2018","75-79","0.667417575759875","0.589063186691677","0.736350648620902","0.890149522144803","0.831588566535541","0.936747746238459","0.8567701846595","0.788965779661504","0.9113406995395","0.583477802719353","0.46217043345753","0.702067621745576","0.024827129770502","0.0126265821805257","0.0420964762617956"
"United States of America","USA","Men","2019","75-79","0.667049682800334","0.579505552735696","0.744034405665803","0.891593646651548","0.827016945239197","0.941344064022158","0.855468946218929","0.776927658235261","0.916031583208347","0.579417653152296","0.440846262382732","0.715149289294524","0.0243059709204561","0.0115167417823673","0.0435669293197909"
"Germany","DEU","Women","1990","75-79","0.831038326290069","0.752079128610314","0.896293759557409","0.620951053156183","0.449869036167057","0.7662681674058","0.548882909212663","0.393672808739224","0.700919829939469","0.0561343466115244","0.0180869885752025","0.122341796241595","0.219292875368297","0.121145964633704","0.334731863738599"
"Germany","DEU","Women","1991","75-79","0.828571354304444","0.756433337166559","0.888184388901838","0.63509047433499","0.480955214995189","0.767837719999837","0.564329688931529","0.4215519119639","0.704764614456739","0.0632777251298891","0.0236293792669126","0.126452295755828","0.206827895658044","0.118830503567364","0.309763749048725"
"Germany","DEU","Women","1992","75-79","0.825900482425388","0.758981428544033","0.881651469675946","0.649106715171125","0.507367798520376","0.770302677213619","0.57978530107294","0.447053286385434","0.709976211228055","0.0715517547543963","0.0306928932827465","0.134464753487955","0.194803802883031","0.116130795605592","0.286126168437578"
"Germany","DEU","Women","1993","75-79","0.82289664080281","0.759743778819216","0.875140517209574","0.663066867046996","0.535768890765653","0.775263052090298","0.595510465189392","0.471876475811652","0.71556263533176","0.0814088735237913","0.0390779277669686","0.142942887618259","0.183101505149313","0.113138736150792","0.263978206614641"
"Germany","DEU","Women","1994","75-79","0.819550279768317","0.760359774796163","0.869557085104799","0.677057338158224","0.558857445756038","0.780831500449063","0.611645645965682","0.498495797069462","0.72327329083941","0.0932813880632401","0.0486331473025877","0.15528783668665","0.171681706491944","0.10938081572523","0.243684026094893"
"Germany","DEU","Women","1995","75-79","0.8159875211626","0.759149857959411","0.864036081460719","0.6912229804531","0.582890763702769","0.787942687418357","0.628150389844379","0.521937349952","0.731981701096966","0.107617109273387","0.0602235282391048","0.172725006417356","0.160468228330647","0.10546125310453","0.224098480915389"
"Germany","DEU","Women","1996","75-79","0.812370568176749","0.759363324843707","0.85889051747475","0.705244451194805","0.605309626686497","0.794528057775869","0.644720765037068","0.546432838984243","0.740873113796211","0.12424839646145","0.0739681110291385","0.189616615028034","0.14947279235159","0.100134143623335","0.205907545340326"
"Germany","DEU","Women","1997","75-79","0.80889105394417","0.758229020768551","0.853944995161398","0.718966862706414","0.626058529664341","0.802792624462729","0.661356503065634","0.570856515381112","0.752490913967999","0.142888367152225","0.0884496606449585","0.210014916341831","0.138834109276446","0.0945289929767233","0.190355568333361"
"Germany","DEU","Women","1998","75-79","0.805727167824723","0.757013678322723","0.849534327037948","0.731855779682698","0.643673524827899","0.810394922102759","0.677690548210808","0.590466308398684","0.761367816838274","0.162957331536131","0.104965017553744","0.233041771370234","0.128674011814919","0.0889363653303799","0.176131656302694"
"Germany","DEU","Women","1999","75-79","0.803019876499637","0.75518527253415","0.845565504634948","0.743864690405617","0.661085122336502","0.818672437038734","0.693224021555236","0.611717376727961","0.771140975581946","0.183639775498369","0.121890171900623","0.25704219475861","0.119218248313154","0.0834241942271998","0.161310049878555"
"Germany","DEU","Women","2000","75-79","0.800562689058339","0.753367077379928","0.841683679680923","0.755252636894454","0.675236818066907","0.826085140467125","0.708110594774454","0.630845583546375","0.781012777796465","0.205114030426228","0.139710018543152","0.281290890011716","0.11037738632771","0.077604584470859","0.148510584950729"
"Germany","DEU","Women","2001","75-79","0.798269245234086","0.751589264844923","0.839072675902802","0.766352823004596","0.690660134227938","0.834459865429654","0.722506212032787","0.648697386989151","0.791447087820263","0.227636426205961","0.15932200345373","0.306205204118188","0.102144751986656","0.0719742663971148","0.137942636484756"
"Germany","DEU","Women","2002","75-79","0.796080184661462","0.75022058229228","0.836966966572787","0.777127774174175","0.703326048563823","0.842224336112112","0.736459820927331","0.665968729996964","0.802662270589793","0.25132407560178","0.179646555777624","0.334187534316942","0.0944911451267421","0.0669060385586719","0.127201756330124"
"Germany","DEU","Women","2003","75-79","0.7940024460976","0.749248006381378","0.835032478487475","0.787504229413996","0.714802278361766","0.849772140611844","0.75008983279436","0.681519379790989","0.81334043801359","0.276744245514362","0.201136005257481","0.36353810517422","0.087386389518403","0.0615610862199115","0.117547786246965"
"Germany","DEU","Women","2004","75-79","0.791729706256978","0.747245420616116","0.832306929360649","0.797355974294527","0.727595318425498","0.857185013492962","0.762993890799796","0.697330040603697","0.824500554325937","0.30389828608995","0.224781348543518","0.391724219146016","0.0808721064167935","0.0563145685648859","0.108943760428854"
"Germany","DEU","Women","2005","75-79","0.789350223822004","0.743708834810093","0.830891738022141","0.806379387861932","0.740132576031171","0.863975811807454","0.774825452966061","0.710522545378181","0.834315510336573","0.331665709401661","0.250350736547935","0.421328673950511","0.0750441370041899","0.0523288665007097","0.101103772719816"
"Germany","DEU","Women","2006","75-79","0.786972926984096","0.740996938559354","0.828726822300792","0.814494473651548","0.750753551589855","0.869759812633765","0.785113846315165","0.720281969457349","0.843237950342847","0.359161460598754","0.273902065268281","0.451806490406971","0.069945507728247","0.0484121522554449","0.0948521177724632"
"Germany","DEU","Women","2007","75-79","0.78468106807969","0.737282019269043","0.826537321546826","0.821604663315061","0.758431527697315","0.874925165133833","0.793608250374095","0.729268818468279","0.850238249973082","0.384770774650112","0.297257834024314","0.479180864330838","0.0655420979062633","0.0450188934762697","0.090425069911436"
"Germany","DEU","Women","2008","75-79","0.782621810104494","0.735262753650991","0.825060675854522","0.827701093636801","0.76563190557423","0.880250181722054","0.800226818393649","0.734987308272398","0.856110868704155","0.407117132094392","0.317891505044881","0.501779330425372","0.0617926275401531","0.0415687931115444","0.0860050132263421"
"Germany","DEU","Women","2009","75-79","0.780690081347302","0.732458339132048","0.824941985395116","0.832811109423453","0.771301429221921","0.884960270814297","0.805007012765778","0.738799512416832","0.861196315089224","0.426046791954365","0.331685017688339","0.524192032091388","0.058624661589505","0.0387074587381934","0.0830807366655475"
"Germany","DEU","Women","2010","75-79","0.778652105734255","0.727111818680318","0.824255471467592","0.836846303161","0.77559460627444","0.889487091159806","0.808201880845702","0.738969206716843","0.86628109172814","0.442113081440091","0.3433393269172","0.543729785269891","0.0559902373614566","0.0357041686723123","0.0812173562725436"
"Germany","DEU","Women","2011","75-79","0.776313281982233","0.721064538583706","0.82567517624457","0.839278212860417","0.775328999183693","0.893135773377862","0.809754926845173","0.736552159727539","0.870351761911204","0.455154366458329","0.348180446581033","0.562464556164658","0.0538847351049712","0.0333330838305649","0.0807855981297545"
"Germany","DEU","Women","2012","75-79","0.773651481291888","0.713562893532596","0.826097834447393","0.840284794989152","0.772470348651955","0.896722728867272","0.809816054335036","0.731627474809499","0.875336608234799","0.465831420775905","0.350331980550428","0.583597974365223","0.0521759512805643","0.0306580728981339","0.0809579142572945"
"Germany","DEU","Women","2013","75-79","0.77081321918105","0.703790430243375","0.827820432892627","0.840088425446261","0.76903943774368","0.900773605613939","0.808478116003894","0.723655105431618","0.879605479106078","0.474325215309035","0.347441256794356","0.603932042322416","0.0508718589190727","0.0281344039577004","0.0824622300246267"
"Germany","DEU","Women","2014","75-79","0.768016721396096","0.692986213944164","0.831590566886672","0.838698692784347","0.759684296094779","0.903111247238665","0.805830154233037","0.713732002513492","0.882865570318238","0.480583029194499","0.339270936691093","0.624317540022101","0.049931693760209","0.0259100886358889","0.0841324189644007"
"Germany","DEU","Women","2015","75-79","0.765342371871386","0.681261282561657","0.836291234200201","0.836316557823735","0.751429287470444","0.906817975357393","0.802180551806811","0.697326312895773","0.886849792943241","0.485117651463655","0.324428928481967","0.646486500029301","0.0492774209714806","0.0238665641807595","0.0873876485598885"
"Germany","DEU","Women","2016","75-79","0.762786804278756","0.668241822941455","0.841797031966259","0.833183485245391","0.736463194242923","0.910749273671056","0.79800993604906","0.678937858176442","0.891868250192461","0.4886337752396","0.310377320501924","0.666840773632969","0.0488231631110949","0.0216129784879142","0.0906083791761909"
"Germany","DEU","Women","2017","75-79","0.760278252656407","0.652225283577384","0.848377535095384","0.829229696296874","0.717769647847781","0.916152690609562","0.792971859489491","0.657512373465744","0.896317579346409","0.490848813068577","0.292921098025079","0.68931270245757","0.048564914949411","0.019400878333894","0.0957707858115198"
